stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words
people-centr,9999.0,42,0,0.00885328836424958,0.0,"people-centred, people-centric"
natalia,9999.0,42,0,0.00885328836424958,0.0,natalia
rooftop,9999.0,42,0,0.00885328836424958,0.0,"rooftop, rooftops"
xcii,9999.0,42,0,0.00885328836424958,0.0,xcii
patstat,9999.0,42,0,0.00885328836424958,0.0,patstat
homopolymeris,9999.0,42,0,0.00885328836424958,0.0,homopolymerisation
upgradability,9999.0,42,0,0.00885328836424958,0.0,upgradability
distrust,9999.0,42,0,0.00885328836424958,0.0,distrust
post-disast,9999.0,41,0,0.008642495784148397,0.0,post-disaster
gep,9999.0,41,0,0.008642495784148397,0.0,"gep, geps"
flood-pron,9999.0,41,0,0.008642495784148397,0.0,flood-prone
food-farming-fisheri,9999.0,41,0,0.008642495784148397,0.0,food-farming-fisheries
cleantech,9999.0,41,0,0.008642495784148397,0.0,cleantech
fintech,9999.0,41,0,0.008642495784148397,0.0,"fintech, fintechs"
luba,9999.0,41,0,0.008642495784148397,0.0,luba
rbsp,9999.0,41,0,0.008642495784148397,0.0,"rbsp, rbsps"
xcviii,9999.0,41,0,0.008642495784148397,0.0,xcviii
post-visa,9999.0,41,0,0.008642495784148397,0.0,post-visa
philanthrop,9999.0,41,0,0.008642495784148397,0.0,philanthropic
collid,9999.0,41,0,0.008642495784148397,0.0,"collide, collided, collider, collides, colliding"
electromobility,9999.0,41,0,0.008642495784148397,0.0,electromobility
guardianship,9999.0,41,0,0.008642495784148397,0.0,guardianship
exhum,9999.0,41,0,0.008642495784148397,0.0,"exhumation, exhumations, exhume, exhumed, exhuming"
expansionary,9999.0,40,0,0.008431703204047217,0.0,expansionary
eip-agri,9999.0,40,0,0.008431703204047217,0.0,eip-agri
urban-rur,9999.0,40,0,0.008431703204047217,0.0,urban-rural
speed-up,9999.0,40,0,0.008431703204047217,0.0,speed-up
lxxviii,9999.0,40,0,0.008431703204047217,0.0,lxxviii
undocu,9999.0,40,0,0.008431703204047217,0.0,undocumented
macarthur,9999.0,40,0,0.008431703204047217,0.0,macarthur
rink,9999.0,40,0,0.008431703204047217,0.0,"rink, rinking"
game-chang,9999.0,40,0,0.008431703204047217,0.0,"game-changer, game-changers, game-changing"
business-economy-euro,9999.0,40,0,0.008431703204047217,0.0,business-economy-euro
voil,9999.0,40,0,0.008431703204047217,0.0,"voile, voiles"
dopa,9999.0,40,0,0.008431703204047217,0.0,"dopa, dopas"
diari,9999.0,40,0,0.008431703204047217,0.0,diaries
anti-oxidiz,9999.0,39,0,0.008220910623946037,0.0,anti-oxidizing
wattl,9999.0,39,0,0.008220910623946037,0.0,"wattle, wattled, wattles"
cerd,9999.0,39,0,0.008220910623946037,0.0,cerd
xxxviii,9999.0,39,0,0.008220910623946037,0.0,xxxviii
multi-criteria,9999.0,39,0,0.008220910623946037,0.0,multi-criteria
state-of-nature-in-the-eu,9999.0,39,0,0.008220910623946037,0.0,state-of-nature-in-the-eu
y-o-y,9999.0,39,0,0.008220910623946037,0.0,y-o-y
catching-up,9999.0,39,0,0.008220910623946037,0.0,catching-up
time-to-market,9999.0,39,0,0.008220910623946037,0.0,time-to-market
mportanc,9999.0,39,0,0.008220910623946037,0.0,mportance
eu-nato,9999.0,39,0,0.008220910623946037,0.0,eu-nato
lgbt,9999.0,39,0,0.008220910623946037,0.0,"lgbt, lgbts"
riverbank,9999.0,39,0,0.008220910623946037,0.0,"riverbank, riverbanks"
mfi,9999.0,39,0,0.008220910623946037,0.0,"mfi, mfis"
scheldt,9999.0,38,0,0.008010118043844857,0.0,scheldt
produktai,9999.0,38,0,0.008010118043844857,0.0,produktai
movi,9999.0,38,0,0.008010118043844857,0.0,"movi, movie, movies"
record-deck,9999.0,38,0,0.008010118043844857,0.0,record-decks
polyfluoroalkyl,9999.0,38,0,0.008010118043844857,0.0,polyfluoroalkyl
colorect,9999.0,38,0,0.008010118043844857,0.0,colorectal
sunscreen,9999.0,38,0,0.008010118043844857,0.0,"sunscreen, sunscreens"
e-report,9999.0,38,0,0.008010118043844857,0.0,"e-report, e-reported, e-reporting, e-reports"
micropollut,9999.0,38,0,0.008010118043844857,0.0,"micropollutant, micropollutants, micropolluting"
one-out,9999.0,38,0,0.008010118043844857,0.0,one-out
over-fish,9999.0,38,0,0.008010118043844857,0.0,"over-fished, over-fishing"
sustainabledevelop,9999.0,38,0,0.008010118043844857,0.0,sustainabledevelopment
otal,9999.0,38,0,0.008010118043844857,0.0,otal
polypeptid,9999.0,38,0,0.008010118043844857,0.0,"polypeptide, polypeptides"
powerhous,9999.0,38,0,0.008010118043844857,0.0,"powerhouse, powerhouses"
community-l,9999.0,38,0,0.008010118043844857,0.0,community-led
industry-wid,9999.0,38,0,0.008010118043844857,0.0,industry-wide
ppropriat,9999.0,38,0,0.008010118043844857,0.0,"ppropriat, ppropriate, ppropriateness, ppropriations"
gender-relat,9999.0,38,0,0.008010118043844857,0.0,gender-related
